#"FID1 - B:Signal #1 LEO_027_1eq_02h.D"
#Point,X(Minutes),Y(Response Units)
1105,0.3683,70636
1106,0.3687,70506
1107,0.3690,70557
1108,0.3693,70462
1109,0.3697,70604
1110,0.3700,70762
1111,0.3703,70605
1112,0.3707,70626
1113,0.3710,70435
1114,0.3713,70546
1115,0.3717,70642
1116,0.3720,70614
1117,0.3723,70638
1118,0.3727,70545
1119,0.3730,70594
1120,0.3733,70722
1121,0.3737,70583
1122,0.3740,70611
1123,0.3743,70446
1124,0.3747,70718
1125,0.3750,70616
1126,0.3753,70625
1127,0.3757,70448
1128,0.3760,70453
1129,0.3763,70602
1130,0.3767,70521
1131,0.3770,70615
1132,0.3773,70502
1133,0.3777,70609
1134,0.3780,70665
1135,0.3783,70555
1136,0.3787,70544
1137,0.3790,70472
1138,0.3793,70538
1139,0.3797,70689
1140,0.3800,70532
1141,0.3803,70569
1142,0.3807,70402
1143,0.3810,70547
1144,0.3813,70735
1145,0.3817,70672
1146,0.3820,70682
1147,0.3823,70453
1148,0.3827,70508
1149,0.3830,70640
1150,0.3833,70610
1151,0.3837,70607
1152,0.3840,70453
1153,0.3843,70502
1154,0.3847,70682
1155,0.3850,70574
1156,0.3853,70568
1157,0.3857,70401
1158,0.3860,70523
1159,0.3863,70649
1160,0.3867,70603
1161,0.3870,70570
1162,0.3873,70460
1163,0.3877,70472
1164,0.3880,70639
1165,0.3883,70517
1166,0.3887,70571
1167,0.3890,70463
1168,0.3893,70558
1169,0.3897,70701
1170,0.3900,70581
1171,0.3903,70639
1172,0.3907,70478
1173,0.3910,70576
1174,0.3913,70679
1175,0.3917,70583
1176,0.3920,70532
1177,0.3923,70394
1178,0.3927,70453
1179,0.3930,70669
1180,0.3933,70613
1181,0.3937,70668
1182,0.3940,70506
1183,0.3943,70568
1184,0.3947,70673
1185,0.3950,70614
1186,0.3953,70608
1187,0.3957,70528
1188,0.3960,70568
1189,0.3963,70735
1190,0.3967,70618
1191,0.3970,70646
1192,0.3973,70517
1193,0.3977,70536
1194,0.3980,70633
1195,0.3983,70480
1196,0.3987,70575
1197,0.3990,70454
1198,0.3993,70567
1199,0.3997,70624
1200,0.4000,70551
1201,0.4003,70541
1202,0.4007,70456
1203,0.4010,70486
1204,0.4013,70696
1205,0.4017,70647
1206,0.4020,70677
1207,0.4023,70416
1208,0.4027,70463
1209,0.4030,70546
1210,0.4033,70522
1211,0.4037,70540
1212,0.4040,70474
1213,0.4043,70711
1214,0.4047,70612
1215,0.4050,70629
1216,0.4053,70423
1217,0.4057,70492
1218,0.4060,70588
1219,0.4063,70636
1220,0.4067,70616
1221,0.4070,70503
1222,0.4073,70476
1223,0.4077,70671
1224,0.4080,70568
1225,0.4083,70608
1226,0.4087,70405
1227,0.4090,70511
1228,0.4093,70622
1229,0.4097,70618
1230,0.4100,70606
1231,0.4103,70483
1232,0.4107,70626
1233,0.4110,70586
1234,0.4113,70618
1235,0.4117,70507
1236,0.4120,70558
1237,0.4123,70650
1238,0.4127,70615
1239,0.4130,70671
1240,0.4133,70562
1241,0.4137,70591
1242,0.4140,70623
